Tweets,User,User_location,fav_count,rt_count,tweet_date
I've successfully completed 90 days (3 months) in quarantine. Now just 10 days short of reaching a milestone.… https://t.co/ArjpgnM6iB,Tejan Shrivastava,"Mumbai, India",0,0,2020-06-01 16:40:21
"Guidelines by ECA to preschools for keeping children engaged during lockdown

@ecaorg @swatipopat #preschools… https://t.co/CS3Ts21GXi",EducationWorld India,India,1,0,2020-06-01 14:17:36
"Coz we are healing!!!
.
.
#endofcorona #worldishealing #indiafightscorona #indialockdown #PowermaxFitness #theend… https://t.co/FojNH2moZn",Powermax Fitness,,1,0,2020-06-01 14:11:05
"As Online Classes Commence, School Campuses Remain Deserted https://t.co/uxgr4npvdb #KeralaSchoolOnlineClasses… https://t.co/jrfUhoe3P5",Mathrubhumi News,"Kerala, India",0,0,2020-06-01 10:12:01
Sourav Ganguly claims cricket will return to normalcy only post COVID-19 vaccine's release #Ganguly #IPL… https://t.co/hiQ8j7Y5sC,Republic,"Mumbai, India",96,14,2020-06-01 09:49:45
"Tag Your Best Friends ❣️🤣
.
#indialockdown
#lockdown

#feelhapi #friendship
#BFF #stayathomemom
#sanitizer #masks… https://t.co/LEXTseytEB",Feel Hapi official,,2,1,2020-06-01 08:47:37
"These are the Guidelines for Unlock 1.0

Be prepared &amp; #StaySafe 

Follow @takshilalearning for more updates… https://t.co/rQRsRvtCjT",Takshila Learning,New Delhi,0,1,2020-06-01 08:30:19
"#Home https://t.co/n30Rg8akWL is #happy #healthy place. 
Stay indoors as much as you can. #StayHome #StaySafe .… https://t.co/utzg762ym5",Nutrafy,"Gurgaon, India",0,0,2020-06-01 08:14:25
#UnlockIndia https://t.co/wBoRURPz2U the #COVID19 is still out there. Best way to be #healthy is to ensure staying… https://t.co/r0e2fHjob4,Nutrafy,"Gurgaon, India",0,0,2020-06-01 06:32:37
#EarlyChildhoodAssociation strongly appeals to @HRDMinistry and @MinistryWCD to not ignore the country's youngest c… https://t.co/XYU5pJRsRY,ScooNews,"Jaipur, India",1,1,2020-06-01 06:29:08
"https://t.co/YFvyhzmWqW

Life in Lockdown: Twitter, Podcast &amp; Braces!

#coronavirus #India #COVID19 #LifeInLockdown… https://t.co/BuxynO6qVy",Jadeja Harjeet,"Ahmedabad, India",1,0,2020-06-01 06:06:10
"Here's our next video about TN LOCKDOWN 5.0 &amp; UNLOCK 1.0
Watch to know the details of it.
https://t.co/Un0Gd9r4tL… https://t.co/pp2Eg9nmZJ",SRA Tamil,India,0,0,2020-06-01 05:50:35
"Here's our next video from our channel about India Lockdown 5.0 &amp; Unlock 1.0
Watch the video to know the details ab… https://t.co/lGujxuYmNh",SRA Tamil,India,0,0,2020-06-01 05:09:33
"CoronaVirus Latest Updates In Andhra Pradesh, Telangana And India At 10:30 AM On 1st June 2020.… https://t.co/9mK2wUSXbX",Mango News,Hyderabad,2,0,2020-06-01 05:00:00
"Try to change our meetings strategies and gatherings. #Covid-19

#Corona #LockDown #StayHomeStaySafe #NGO… https://t.co/yfpTT6Gcxx",Tapasvi,"Hyderabad, India",0,0,2020-06-01 04:17:54
"Well, when you've got another 30 days added to your sentence, sometimes it's good to look back...to 2015.… https://t.co/hCrQLl3shF",CraigBoehman,Mumbai,5,1,2020-05-31 18:48:47
Indian seafarers need to return home!!🙏#seafarersmatter #EssentialWorkers #seafarerstohome #crewchange… https://t.co/B2YCwAjGWX,Kunal Thareja,"Sector 40, Noida",2,1,2020-05-31 14:42:33
"Lockdown 4.0  | Session 2
Registration link For Workshop: 
https://t.co/bgn8Cm7Eq4
#Lockdown4
#covid19… https://t.co/ea7vWSAqKa",Deep Chandra Yadav,"Barabanki, India",0,0,2020-05-31 14:13:07
Is anyone actually verifying if the corona number are correct in India or any soar throat case is marked covid-19 p… https://t.co/2fIusBPrex,vinay,Bangalore,1,0,2020-05-31 14:06:32
"CoronaVirus Latest Updates In Andhra Pradesh, Telangana, And India At 7:00 PM On 31st May 2020.… https://t.co/udsp3mj9ar",Mango News,Hyderabad,0,0,2020-05-31 13:32:45
"Weighing scale kya jaane ice cream ka swad 

#simmisakhuja 
#desipunjabisimmi 
#punjabicomedy 
#punjabimemes… https://t.co/7rJSoAp8F9",Simmi Sakhuja,Mumbai,0,0,2020-05-31 12:25:45
"The guidelines issued by the state will be effective from June 1 to June 30
#UttarPradesh #IndiaLockdown 

https://t.co/3FD9PO5tqX",THE WEEK,India,0,1,2020-05-31 11:47:09
"Unlock 1.0 : New Guidelines to fight COVID-19 to be effective from 1st June 2020
#IndiaFightsCorona #IndiaLockDown… https://t.co/gH3qzHng9E",First Verdict Media,"Himachal Pradesh, India",0,0,2020-05-31 11:08:34
"Deputy CM Manish Sidodia said that he had demanded Rs 5,000 crore as Delhi did not get anything from the disaster r… https://t.co/s2NmIlGWHR",THE WEEK,India,0,0,2020-05-31 10:20:52
"Lockdown 5.0
...
#lockdown #lockdown2020 #lockdownlife #extended #lockdownextended #lockdown5 #indialockdown #india… https://t.co/pEfNBkEj8w",designershreyas,"Mumbai, India",0,0,2020-05-31 07:30:32
"Are you considering closing your SIP?
Are there different types of SIP investors?
Follow &amp; like Us to get best guid… https://t.co/yzwcOxi1pu",Invest My Funds,"416, Laxmi Deep Building",3,1,2020-05-31 07:02:51
"Lockdown 5.0 be like.

*Upar upar se karlo*

#Lockdown5 #indialockdown #lockdownmeme #memes #desimemes #indianmemes",sanju pal,,0,0,2020-05-31 06:40:09
"Well, my shoes and lipsticks probably think I died.😂

#QurantineLife #indialockdown #pandemicdays #LifeInTimesOfCorona #MissingPreQurantine",RV,"india,mumbai",2,0,2020-05-31 06:33:24
"CoronaVirus Latest Updates In Andhra Pradesh, Telangana, And India At 11:15 AM On 31st May 2020.… https://t.co/Av49Cu8qzb",Mango News,Hyderabad,0,0,2020-05-31 05:53:40
"[Lockdown self-service] Drinking water stopped during lockdown :( No worries!

How to fix pureit red light at home… https://t.co/EsB9MZ674a",messyinfotainment,Bangalore,0,0,2020-05-30 19:26:36
Initially you guys posted the news with a datebof may 25th.... strange.. or were u guys trying to predict the futur… https://t.co/OkZft0Vf6F,Rohail,,0,0,2020-05-30 17:09:02
June 8th it is ... #Hyderabad #hyderbadlockdown #indialockdown https://t.co/4T0YdLm0M0,Rohail,,0,0,2020-05-30 15:52:01
"My humble request to @ArvindKejriwal  sir to just play one match with me.
@PUBGMOBILE @PUBGMOBILE_IN 
#PUBGMOBILE… https://t.co/Pg8Xc5XoQi",AviNaash🇮🇳,"Gujarat, India",0,0,2020-05-30 15:32:49
#indialockdown India has been in lockdown since 22nd March 2020. Now the Govt has announced a modified version 5.0… https://t.co/xEMgJWwdGj,Rakesh Mital,India,0,0,2020-05-30 15:06:38
"Great, my bedtime remains unchanged. #indialockdown https://t.co/RERY8OF6xw",sheba thayil,Bangalore,3,0,2020-05-30 15:01:26
"What are the relaxation in Lockdown 5.0 !!! 

https://t.co/TSOVZbCSkP

#lockdown2020 #Lockdownextention… https://t.co/YcL5XFOli2",Surya Speak,,0,0,2020-05-30 14:59:42
"What do you call skipping in Punjabi 🤷🏻‍♀️ 

#simmisakhuja 
#desipunjabisimmi 
#punjabicomedy 
#punjabimemes… https://t.co/u2YGsHbrSq",Simmi Sakhuja,Mumbai,0,1,2020-05-30 14:29:13
"Lockdown 5.0 extended in containment zones till June 30 | V6 News
Watch Video &gt;&gt; https://t.co/VtHJfwKymP… https://t.co/qrBB4DbpEE",V6 News,"Hyderabad, Telangana, India",9,1,2020-05-30 14:25:03
"Lockdown 5.0: Malls, Restaurants, Places Of Worship Can Open Starting June 8 | V6 News

#Coronavirus #IndiaLockdown #Lockdown5",V6 News,"Hyderabad, Telangana, India",20,4,2020-05-30 14:23:29
"Temples to open from June 8. Lockdown 5 - easing out, except for containment zones.
 #covid19 #coronavirus… https://t.co/CH2LkaEMEi",Addittya Tamhankar,Pune,0,0,2020-05-30 14:10:16
Send them over to https://t.co/Yk02LCJ9wc and we'll get the answers from concerned authorities. Select answers will… https://t.co/1Ccx4IrVA9,The Times Of A Better India,,0,0,2020-05-30 14:07:53
"Unrestricted movement of persons and goods

There shall be no restriction on inter-State and intra-State movement o… https://t.co/GzNztVUS8A",Priyansh Yadav,"Gurgaon, India",1,1,2020-05-30 14:06:41
"#Lockdown5 | Govt extends the #Lockdown in Containment Zones upto 30 June 2020.

Prohibited activities to be reopen… https://t.co/PmKmqnx1wb",First India,"Jaipur, India",3,0,2020-05-30 14:02:26
"CoronaVirus Latest Updates In Andhra Pradesh, Telangana And India At 07:30 PM On 30th May 2020.

#IndiaLockDown… https://t.co/JYdeUx7yor",Mango News,Hyderabad,0,0,2020-05-30 14:00:01
India lockdown will continue to remain in force till June 30 in containment zones that will be demarcated by distri… https://t.co/9T4BvB7AO2,Divya Chowdhury,"Mumbai, India",2,0,2020-05-30 13:58:21
"#UNLOCK1 | #Phase1- Religious places and places of worship for public; hotels, restaurants and other hospitality se… https://t.co/HKC8xjTsvf",First India,"Jaipur, India",1,0,2020-05-30 13:35:08
"#UNLOCK1 | #Phase1- Religious places and places of worship for public; hotels, restaurants and other hospitality se… https://t.co/znbxqIbhPj",First India,"Jaipur, India",2,1,2020-05-30 13:34:59
Lockdown is extended till June 30 but malls and temples are open? I'm confused #Lockdownextention #indialockdown… https://t.co/m0mfk8g2C0,Mia,Winterfell,0,0,2020-05-30 13:26:27
A must read #covidindia #MigrantLivesMatter #MigrantsOnTheRoad #indialockdown https://t.co/p3eVeaQCvB,sunaina s ahluwalia,,0,0,2020-05-30 12:29:40
If you know about any such unsung #LockdownHeores share their stories with us at https://t.co/kpPdaD37iP. Selected… https://t.co/wu4w6bnaTK,The Times Of A Better India,,0,0,2020-05-30 12:05:55
"Let #India handle d cases instead of trying to confuse it
GDP wud be -ve, exports wud b -ve, blah blah
dat's going… https://t.co/IJeO4Hdjdi",Abhilash,"Nashik, Maharashtra",0,0,2020-05-30 11:48:59
"May be 1 lakh cases in month of March wud have been stupendous
today at the end of May with 50% recovered the task… https://t.co/fBQbRAwzOl",Abhilash,"Nashik, Maharashtra",0,0,2020-05-30 11:48:58
"Hav u seen - some worried about relaxations of shutdown &amp; some others about increasing relaxations
India isn't just… https://t.co/7AovqlI5ga",Abhilash,"Nashik, Maharashtra",0,0,2020-05-30 11:48:57
"Thank you @SonuSood sir. Such u r a great person nd vry gd actor...💐💐
he is the REAL HERO❣️👌🏻
keep it up. 🙏🏻… https://t.co/OfkmDFZQ6s",Sekh Hasiruddin Box,"Balasore , Odisha , India 🇮🇳",1,0,2020-05-30 11:23:20
"Why no one understands that covid-19 was in India in November 2019, unrestricted travel was between Wuhan and all o… https://t.co/y4kH2L9MC3",vinay,Bangalore,0,0,2020-05-30 11:19:55
"Nothing lasts forever; even this time will pass away.
.
.
.
.
.
#coronathoughts #stayaware #coronastopkarona… https://t.co/7VcmpTzlMn",Bugsbunndo,Dominican republic,0,0,2020-05-30 11:18:50
@BDUTT @themojo_in A wonderful journey across India by a journalis by road during #COVID__19 and #indialockdown era… https://t.co/bhYBsO6j8k,NowshadPangode,"Dubai, United Arab Emirates",0,0,2020-05-30 09:54:57
"Are they starting International Flights to/fro India?

#IndiaLockdown",Lady Nisha,"London, England",10,1,2020-05-30 09:27:30
#BREAKING | Air India's Delhi-Moscow flight returns midway after ground team realises pilot is COVID-19 positive… https://t.co/UTZ7rC6gLA,India TV,India,35,6,2020-05-30 08:52:32
"India Lockdown - After The End Of Lockdown 4.0 on May 31, What Lockdown 5.0 May Look Like 
Watch Full Video...… https://t.co/UsLVyPR0a1",ABN Telugu,"Jubilee Hills, Hyderabad",3,0,2020-05-30 07:57:46
"#IndiaLockdown - After The End Of Lockdown 4.0 on May 31, What Lockdown 5.0 May Look Like 
#lockdownextension india… https://t.co/w5VmjQUIJB",ABN Telugu,"Jubilee Hills, Hyderabad",1,0,2020-05-30 07:49:36
"Sonam Wangchuk message to people
https://t.co/4TbeRYXHoo
#IndiaFightsCorona #IndiaLockDown #StayHomeIndia
#Covid_19… https://t.co/gkVJp9G07b",First Verdict Media,"Himachal Pradesh, India",0,0,2020-05-30 07:03:51
"#AkalAcademy #IndiaLockdown #FightAgainstCovid-19 #MartyrdomDay

Homage to Fifth Master by rural students while sta… https://t.co/pmnNiOXo2a",Kalgidhar Trust,India,0,0,2020-05-30 06:28:10
"#howto be #fit in #lockdown4 . https://t.co/QIYBbLaKIi .
#AtHome . Best #fitness #healthprogram . #physicalroutines… https://t.co/RYr0exZC5x",Nutrafy,"Gurgaon, India",2,0,2020-05-30 05:50:39
"Are you following all the Social Distancing measures? 

#WeStandUnited #WeAreOne #indialockdown #indiafightcorona… https://t.co/eYGj2lHUeu",Naturals by Skas,"A-5/4. Mayapuri Phase -II,
New Delhi-110064 , India",1,0,2020-05-30 05:00:09
"Display Racks Manufacturers

 #india #india #stayhomestaysafe #socialdistancing #covid_19 #innovation… https://t.co/JoMXYEi0X3",unitechrack,,0,0,2020-05-30 04:16:46
"An eerily deserted inner circle of Connaught Place.
...
...
...
#lockdown #indialockdown #connoughtplace… https://t.co/dnVh6ZFzX2",Sahil Vohra,New Delhi,2,0,2020-05-30 04:05:36
"Type I am a Winner...
.
.
.

..
.
#coronathoughts #stayaware #brandingred #coronastopkarona #coronamatkarona… https://t.co/gvWiMqIrEA",Branding Red,,0,0,2020-05-29 23:55:06
2.#PoliceBrutality- #PoliceBrutality is glorified in Indian movies. No one preaches or talks against… https://t.co/1TuWPcVRS9,Argumentative bong,"Tampere, Finland",3,1,2020-05-29 19:29:08
"Day 66 of #IndiaLockdown. UP112 Ghaziabad silently doing a great job. Handled more than 33,000 lock down related ca… https://t.co/4HmIzU0Puo",Neeraj Kumar Jadaun,,20,2,2020-05-29 19:07:17
Rahu The Magician ====#astrologyvideos #astrologyfact #viralastrology #astrologicalsign #astrologypower… https://t.co/IJYiO2v9Sx,Astrobelief Astrology,"Thane West, Thane",1,0,2020-05-29 18:09:30
"Experts suggest to Modi government - open lockdown, keep school-colleges closed.. 

For more details visit:… https://t.co/HPYOimAsH6",The Inquilab Express,,1,0,2020-05-29 18:02:45
"https://t.co/41IDSLI1Ba
 Subscribe Pulkit Mohan Singla on YouTube for videos on paranormal activity and ghost and s… https://t.co/h0EIdG9PAk",Pulkit mohan singla,Delhi,0,0,2020-05-29 17:08:49
"https://t.co/GsfKz9e8py
#dirilisertugrul #ghaziertugrul #osmangazi #viralvideo #trinding #nurgrul #indialockdown… https://t.co/D2srI9JN6J",Media Star,,0,0,2020-05-29 16:43:17
India Lockdown 4.0: FM reviews economy; GDP data will release today and SC slaps govts over migrant issues… https://t.co/fpORZTJad1,BC Gupta,New Delhi,0,0,2020-05-29 16:03:28
You've brought us very close (93%) to achieving our fundraising goal to help families struggling with food insecuri… https://t.co/9WQeB8nSXP,iPartnerindia_Canada,"Toronto, Ontario",4,0,2020-05-29 15:56:27
"Bizarre incident of monkeys escaping with COVID-19 samples after attacking a lab assistant in Delhi, India.  What t… https://t.co/oIlT67aU2r",Eugenie Absalom,"London, England",1,0,2020-05-29 15:50:03
"Documentary about plight of the migrant workers in Delhi.
#MigrantWorkers #indialockdown #PlightIndia… https://t.co/0tApnIJ9EK",Naga Karthik,Chennai,0,0,2020-05-29 15:44:56
New Video on the latest air travel guidelines by the aviation ministry of India now up on my Youtube Channel… https://t.co/HPswjRTamB,Mr.Matta,"Mumbai, India",0,0,2020-05-29 15:33:25
"Playing online Ludo should now be included in employee engagement activities. 

#COVIDー19 #IndiaLockDown",Mr Corporate Bakchod,Zilla Bakchod,0,0,2020-05-29 15:12:29
India Lockdown #IndiaLockdown #COVID19 #MigrantCrisis https://t.co/2ZvP008e5A,Vimal Chandran,Bangalore/India,1,1,2020-05-29 14:57:39
Gdp growth 11 years slow hogaye hai ..... government kaise cover karenge ye saab ...youth ko jawab chaye… https://t.co/92J3nHwzpH,QuaziMoin,,1,0,2020-05-29 14:24:15
"Stay safe and stay informed!

#coronavirus #lockdown2020 #timesofindia #lockdown4 #coronavirusoutbreak #covid_19… https://t.co/iMgURJbAOx",The Times Of A Better India,,0,0,2020-05-29 14:20:30
"Mumbai: Equity benchmark ended higher on Friday. At close, the Sensex was up 223.51 points or 0.69% at 32,424.10, a… https://t.co/Wc40uJIyVc",Mango News,Hyderabad,1,0,2020-05-29 12:45:00
"494 domestic flights ferried 38,078 passengers in India on Thursday: Government #HardeepSinghPuri #Indialockdown… https://t.co/2KxBUmj0pu",The Hans India,Hyderabad,0,0,2020-05-29 12:33:18
"#Chandigarh: Except for recording 91% recovery rate in India, #Punjab is successful in maintaining the lowest… https://t.co/GjnlKtwpLI",The Inquilab Express,,0,0,2020-05-29 12:18:01
Interesting data!! Currency in circulation up by 10% in #indialockdown !! who is hoarding?? Any views? https://t.co/tvMHFrh6uU,Mehul Patel,,0,0,2020-05-29 11:53:28
"when villagers pronounced ""school"" as "" इस्कुल"" we all laughed, but we are now by default pronouncing the same “e-s… https://t.co/Mp5BhX1P4e",Kalpak Shah,Mumbai,0,0,2020-05-29 11:15:26
"Centre Seeks CMs Opinion On #Lockdown5 

#LockdownExtension #CoronaVirus #COVID19 #IndiaLockdown #CoronaLockdown https://t.co/YfkWYkSBuR",Hi Hyderabad,"Hyderabad, India",1,0,2020-05-29 10:49:26
Govt deciding on extending lockdown for the 5th time. Meanwhile “Me”🤣 #IndiaLockdown #COVID19 #coronavirus… https://t.co/yAVqwap3jP,Akshay Dinani,,0,0,2020-05-29 09:38:09
"Punjab : 2 People including 1 RPF personnel died due to Coronavirus. 20 New patients found.

Report by :… https://t.co/EccRhcbzO1",The Inquilab Express,,2,0,2020-05-29 08:51:12
"..
🇮🇳 Meanwhile in India....

👟 A gift of shoes and the long walk home ~ in searing heat ~ continues for many migra… https://t.co/FBYmTLTURW",🙏 Noor un Nisa 🪔,As Karma determines (OC RP21+),9,2,2020-05-29 07:51:14
"Schools in West Bengal to remain closed till June 30

@itspcofficial #covid19 #Indialockdown #CycloneAmphan

https://t.co/KRgm88dsGU",EducationWorld India,India,3,1,2020-05-29 07:09:59
"Covid-19: Supply chain disruptions are over in pharma sector, says Dr Reddy’s CFO
#SupplyChain #Pharma… https://t.co/TY2N4e7WRi",ETCFO,"Noida, India",1,1,2020-05-29 05:57:17
I am gonna stop making junk food and posting photos on instagram as I am expecting the lockdown to end in the next… https://t.co/nvqf2Z7kRq,Pratik Girme,Pune,0,0,2020-05-29 05:54:46
I am gonna stop making junk food at home coz I am expecting the lockdown to open #lockdown #Indialockdown #Lockdownextension,Pratik Girme,Pune,0,0,2020-05-29 05:48:34
India Lockdown 4.0: FM reviews economy; GDP data will release today and SC slaps govts over migrant issues… https://t.co/9Ymcfc4zPg,ETCFO,"Noida, India",0,0,2020-05-29 05:47:47
"https://t.co/axjtQe8oT9 

Impact of decisions on ""4 hour notice""

Many banks &amp; financial institutions reviewing the… https://t.co/oJ1OV3IbM4",Vinoo Titty George,The world ,0,0,2020-05-29 05:02:36
"CoronaVirus Latest Updates In Andhra Pradesh, Telangana And India At 10:30 AM On 29th May 2020.… https://t.co/bBY3S6A9dC",Mango News,Hyderabad,0,0,2020-05-29 05:00:00
"It cracks me up when people think the world is so unfair and cruel, when they are only dealing with the consequence… https://t.co/LJN5VqqzZp",LoneWolf.64,Namibia,0,0,2020-05-29 04:11:50
"Maintain social distance in bus stands and public places. 

#Corona #StayHomeStaySafe #NGO #IndiaLockDown… https://t.co/HL97Ortx4Q",Tapasvi,"Hyderabad, India",0,0,2020-05-29 04:03:07
"66 Days of Laziness #lockdownextension #KehDiyaNaaBaasKehDiya
#IndiaFightsCorona #indialockdown https://t.co/OX3nGYu501",Manners Maketh Man,earth,0,0,2020-05-29 04:01:10
At least some people will still have faith in humanity! @NLSIUofficial #MigrantsCrisis #migrants #airasia… https://t.co/ualPY9g6LY,Preeti Anand,,1,0,2020-05-29 03:22:43
"""How 2 #TribalWomen Fled Debt Bondage, #Rape Amid Lockdown in B’luru"" -https://t.co/3CoBesv6gA
#IncredibleIndia #bondedlabour #indialockdown",Men 4 Womens Rights,,0,0,2020-05-28 18:11:41
"Let's get the virus away by keep the limited spirit.

#coronathoughts #stayaware #coronastopkarona #coronamatkarona… https://t.co/1zNBwm49ef",agus anggayana,,0,0,2020-05-28 17:47:49
@ajinkyabapat1 @sardesairajdeep Don't feel intimidated by Kant. #india #indialockdown @NITIAayog,frankee chacko,"Navi Mumbai, India",0,0,2020-05-28 17:38:25
"Nowadays media
#coronavirus
#ChineseVirus19
#media
#IndiaFightsCorona
#indialockdown https://t.co/zAaYfXiFG6",🇮🇳★₮ꍏꋪꌈ₦✶🇮🇳,India,0,0,2020-05-28 17:04:49
"As if Lockdown 4.0 was of any help,  we have entered #Lockdown5 #indialockdown",Preethi Agnes,India,0,0,2020-05-28 14:11:02
"CoronaVirus Latest Updates In Andhra Pradesh, Telangana And India At 07:30 PM On 28th May 2020.… https://t.co/PPygwzaTOd",Mango News,Hyderabad,0,0,2020-05-28 14:00:00
"What are you talking about? 
Without labour, the country's devolopment cannot be predicted.The pre-independence and… https://t.co/ExPaH4gJEh",Shameer Shazin,"मैंगलोर, भारत",2,2,2020-05-28 13:31:33
had que frm d intelligent persons #COVID19 #indialockdown #BJPFailsGujarat only 1 person allowed on 2wheler and mor… https://t.co/HWRjbYKxkD,Vatsal Patel,,1,0,2020-05-28 13:03:11
"Implementing your fascist ideology, 
Your attempt to steal the right of labor,poor and minority.I will remind you,… https://t.co/lLY2K5tuJ8",Shameer Shazin,"मैंगलोर, भारत",3,3,2020-05-28 12:17:04
"Traditional way to SIP!
Follow &amp; like Us to get best guidance, Updates &amp; #InvestingTips about #MutualFund.
.
.
.… https://t.co/VmjFfyadOC",Invest My Funds,"416, Laxmi Deep Building",1,0,2020-05-28 11:22:03
"They Need your help 👉🏽 https://t.co/rOF9hol6da   

#covid19 #indialockdown #HelpingHands #helpinghomless #kokavlogs https://t.co/EZi7mmvRXE",Pratik Suryawanshi,"Andheri West, Mumbai",1,0,2020-05-28 10:43:59
